Parlor name,Phone number,Address
Ocean Spa,609-443-7500,"379 Princeton Hightstown Rd; Princeton Junction, NJ, 08550"
Princess Thai Massage,323-667-9889,"1002 1/2 N Vermont Ave; Los Angeles, CA, 90029"
Asian Massage Irvine,949-222-0508,"18023 Sky Park Cir #M; Irvine, CA, 92602"
Wonder Bodywork,201-868-8850,"8612 Kennedy Blvd; North Bergen, NJ, 07047"
New Sun Island Massage,281-398-8188,"3111 Fry Rd., Suite 170; Katy, TX, 77449"
Solution Spa,909-822-1959,"9030 Sierra Ave; Fontana, CA, 92335"
Y&N Reflexology,845-358-3871,"294 Route 59; Nyack, NY, 10960-2731"
Oriental Spa,509-483-6342,"827 E Francis Ave; Spokane, WA, 99208"
Happy Feet,360-888-5798,"400 Cooper Point Rd SW, Suite 26; Olympia, WA, 98502"
Spa King,212-961-6799,"29 E 31st St; New York City, NY, 10001"
New Age Health Massage Therapy,516-773-6329,"25 Great Neck Rd; Great Neck, NY, 11021"
Young Medical Clinic,818-901-9900,"7032 Van Nuys Blvd; Van Nuys, CA, 91405"
Endless Summer Spa,813-870-6191,"3936 W. Kennedy Blvd, Suite B; Tampa, FL, 33609"
Laurel Spa,909-437-1996,"123 N Laurel Ave; Ontario, CA, 91762"
Sakura Spa,402-932-1000,"7318 Harrison St; Omaha, NE, 68128"
Unique Massage,512-388-7888,"2000 S Interstate 35; Round Rock, TX, 78681"
Asian Healing And Health,425-747-4612,"14730 NE 8th St, Suite 204; Bellevue, WA, 98007"
Asian Massage & Spa,714-257-9877,"117 Viking Ave; Brea, CA, 92821"
Ace Spa,212-260-2595,"333 Park Ave South; New York City, NY, 10003"
Sunset Health Spa,814-940-0390,"3307 Pleasant Valley Blvd.; Altoona, PA, 16602"
Magic Hands Herbal Health Spa,425-455-2636,"10631 NE 8th St.; Bellevue, WA, 98004"
Asian College Spa,626-235-6367,"1508 W Verdugo Ave, Suite C; Burbank, CA, 91506"
Agape Health Clinic,310-323-9234,"15500 S Normandie Ave, Suite A; Gardena, CA, 90247"
Birute European Massage,801-273-8445,"6249 Highland Dr.; Salt Lake City, UT, 84121"
Senses Day Spa,626-203-5810,"421 Pine Ave; Long Beach, CA, 90802"
Chinese Healing Massage,505-506-5257,"3470 Coors Blvd SW, Suite B-C; Albuquerque, NM, 87105"
Royal Treatment Massage,607-651-5697,"3600 George F. Highway, Endwell; Binghamton, NY, 13760"
Smile Dawa Spa,"347-977-0088
718-707-9771","34-05 37th Ave; Long Island City, NY, 11101"
SkinSations,801-759-8881,"254 W. 400 S., Suite 302; Salt Lake City, UT, 84104"
Good Asian Massage,858-333-2515,"8898 Clairmont Mesa Blvd  Suite B; San Diego, CA, 92123"
Pearl's Spa & Acupressure Therapy,530-662-5532,"825 East Street; Woodland, CA, 95776"
Fantacy Spa,330-399-2802,"1523 Youngstown Rd; Warren, OH, 44484"
Chi Massage,770-614-7087,"1961 Buford Hwy, Suite G; Buford, GA, 30041"
Jun's Massage Therapy,210-979-8688,"1649 Babcock Rd., Suite B; San Antonio, TX, 78229"
Jan-Massage,303-426-0747,"8739 Sheridan Blvd; Arvada, CO, 80003"
Smile Spa,703-445-0200,"17503 Jefferson Davis Hwy; Dumfries, VA, 22026"
Asia Coast Massage,254-741-6845,"7035 Sanger Ave.; Waco, TX, 76710"
Paradise Asian Massage Center,317-797-2119,"2060 E. 54th St., Suite 10; Indianapolis, IN, 46220"
Wei Bodyworks,508-488-6029,"I495 and exit 18; Hopedale, MA, 01747"
Lavender Spa,209-238-0918,"117 Bodem St; Modesto, CA, 95350"
Moon Night Spa,330-369-8700,"3877 Youngstown Rd; Warren, OH, 44484"
Royal Garden Spa,718-353-3488,"36-38 Union St, Floor 2; Flushing, NY, 11354"
Chinese Massage And Reflexology,805-473-4688,"968 W. Grand Ave., 203; Grover Beach, CA, 93433"
Sun Chi,316-267-0888,"1030 E. 1st Street N.; Wichita, KS, 67214"
"Jade Tree Day Spa, Inc.",703-490-1289,"1986 Opitz Blvd; Woodbridge, VA, 22192"
Tustin Health Spa,714-508-0014,"650 El Camino Real; Tustin, CA, 92780"
Serenity Healing Spa,323-830-5158,"5679 York Blvd; Los Angeles, CA, 90042"
New Age Therapy,714-371-0151,"15052 Red Hill Ave, Suite H; Tustin, CA, 92780"
LP Health Care,323-257-1072,"4733 Eagle Rock Blvd.; Los Angeles, CA, 90041"
Golden Nails,202-621-7523,"517 H St NW; Washington DC, DC, 20001"
Spring Health Center,909-860-2588,"23469 Golden Springs Dr; Diamond Bar, CA, 91765"
Good Day Spa,510-665-7847,"2041 University Ave.; Berkeley, CA, 94704"
Happy Feet Asian Foot Massage,253-302-3792,"9104 South Tacoma Way; Tacoma, WA, 98499"
Lincoln Acupressure & Massage,310-396-2580,"1843 Lincoln Blvd; Santa Monica, CA, 90404"
Asian Health Center,317-728-8500,"5440 W 86th St; Indianapolis, IN, 46268"
Pacific Acupuncture,562-903-1931,"14545 Leffingwell Rd, Suite E; Whittier, CA, 90604"
Green Spa,718-353-2377,"133-04 41st Ave; Flushing, NY, 11355"
Relax,317-889-9888,"7321 US 31 South; Indianapolis, IN, 46227"
Majestic Touch,714-754-1447,"3100 West Harvard Street; Santa Ana, CA, 92704"
Orientiver Massage,571-577-3030,"916 Broad St.; Falls Church, VA, 22046"
Imperial Spa,718-565-2222,"6280 Woodhaven Blvd; Rego Park, NY, 11374"
Asian Touch Massage Therapy,505-872-2208,"2325 San Pedro NE,  Suite 1G; Albuquerque, NM, 87110"
La Suit 304,818-339-2416,"14349 Victory Blvd; Van Nuys, CA, 91401"
Happy River Spa,703-266-2384,"14641 Lee Hwy., Suite D1; Centreville, VA, 20121"
Venus Body Wellness,703-255-5537,"502 Maple Ave W, Suite 302; Vienna, VA, 22180"
J C Massage,347-750-3819,"135-20 40th Rd, 3rd Floor; Flushing, NY, 11354"
Angel's Touch Oriental Massage,925-639-3818,"911 University Ave; Berkeley, CA, 94710"
Synergy Bodyworks,717-778-4099,"3301 Market St.; Camp Hill, PA, 17011"
Happy Massage,805-286-4710,"744 Pine St; Paso Robles, CA, 93446"
Relaxing Bodywork,212-334-4719,"230 Grand St, Suite 601; New York City, NY, 10013"
Body Elements,623-234-9178,"13250 W Van Buren, Suite 102; Goodyear, AZ, 85338"
Classical Music Massage Center,925-283-1668,"3385 Mt Diablo Blvd; Lafayette, CA, 94549"
Asian Tornado,347-299-0722,"327 Park Ave; New York City, NY, 10016"
K & C Therapy,856-627-1122,"113 White Horse Road W.; Voorhees, NJ, 08043"
Blue Moon,267-519-2624,"223 N 13th St; Philadelphia, PA, 19107"
Lucky Star Healing Center,510-654-7838,"502 Oakland Ave; Oakland, CA, 94611"
Best Asian Professional Massage,469-288-7866,"1225 19th St., Suite 105; Plano, TX, 75074"
Nabi Massage Therapy & Spa,708-418-4334,"17923 Torrence Ave.; Lansing, IL, 60438"
Bamboo Spa,215-925-2977,"202 S Quince St; Philadelphia, PA, 19107"
Fine Touch Massage,770-752-5631,"6320 Atlanta Hwy., Suite 6; Alpharetta, GA, 30004"
Jade Healthy Center,310-891-1911,"1730 Sepulveda Blvd, Suite 5; Torrance, CA, 90501"
Water Of Life Spa,212-707-8766,"594 9th Ave; New York City, NY, 10036"
Crystal Relaxation,832-531-9965,"921 FM 1960 Rd West, 101; Houston, TX, 77090"
Jia Massage,510-649-9888,"2207 San Pablo Ave; Berkeley, CA, 94702"
Eastern Western Massage Spa,256-771-9902,"22923 US Highway 72; Athens, AL, 35613"
Best Oriental Bodywork,917-362-7088,"14 Mica Ln, Suite 205; Wellesley, MA, 02481"
Asian Garden Reflexology Center,702-871-6969,"5255 S Decatur Blvd, Suite 105; Las Vegas, NV, 89118"
Gingers,808-941-7540,"1694 Kalakaua Ave; Honolulu, HI, 96826"
Oasis Relaxation,801-716-0877,"352 S. Denver St., Suite 250; Salt Lake City, UT, 84104"
Majestic Touch Massage,651-239-8808,"6043 Hudson Rd., Suite 140P; Woodbury, MN, 55125"
LifeTime Spa,847-677-7678,"3701 Dempster St; Skokie, IL, 60076"
Yong Xin Tui-Na Center (Chinese Bodywork),718-812-4683,"1407 W 8th St; Brooklyn, NY, 11204"
Galaxy Spa,773-463-2011,"4351 N Western Ave; Chicago, IL, 60618"
Orange Spa,813-873-8919,"3715 W.Spruce St., A; Tampa, FL, 33607"
Magical Touch,703-490-3911,"1549 Old Bridge Rd, Suite 208; Woodbridge, VA, 22192"
Magical Hands,609-750-8808,"148 Princeton Hightstown Rd.; Hightstown, NJ, 08520"
Yayou Massage,954-608-6429,"1405 N State Rd 7; Hollywood, FL, 33021"
Chi Health Spa,425-776-8866,"19505 W. 44th Ave.; Lynnwood, WA, 98036"
Central Acupuncture,909-591-4777,"11668 Central Ave.; Chino, CA, 91710"
Apple Spa,215-673-0304,"10846 Bustelton; Philadelphia, PA, 19115"
CQ Therapy,"210-213-8932
210-805-0888","4407 Parkwood Dr.; San Antonio, TX, 78218"
Apple Spa,425-245-5884,"15620 Highway 99 Unit 6B; Lynnwood, WA, 98087"
Ping's Spa,812-371-3366,"1600 Central Ave.; Columbus, IN, 47201"
USA Chiropractic Inc.,909-931-3999,"5404 Moreno St., Suite L; Montclair, CA, 91763"
Close Encounters Professional Massage,570-421-4911,"2051 Milford Rd; East Stroudsburg, PA, 18301"
Lee Health,310-313-5383,"12107 Venice Blvd.; Los Angeles, CA, 90066"
Triangle Therapy,845-782-7766,"118 River Rd., Suite 16; Harriman, NY, 10926"
Spa Francis Lewis,917-285-2080,"25-16 Francis Lewis Blvd; Flushing, NY, 11354"
Madame Butterfly,954-987-6163,"5815 Sheridan St.; Hollywood, FL, 33021"
Empire Spa,281-866-0088,"921 FM 1960 West, Suite 104F; Houston, TX, 77090"
Kennedy Spa,813-870-3797,"3309 W Kennedy Blvd; Tampa, FL, 33609"
C & H Essential Massage,661-864-7743,"239 18th Street; Bakersfield, CA, 93301"
Chinese Success,718-366-1266,"6502 Fresh Pond Rd; Ridgewood, NY, 11385"
HB Massage,714-847-8314,"18672 Florida St, Suite 101B; Huntington Beach, CA, 92648"
Sunset Spa,630-616-1133,"13 West Main Street; Bensenville, IL, 60106"
Healthcare Spa,785-579-5440,"204 Grant Ave; Junction City, KS, 66441"
GS Wellness Center,412-621-1360,"5600 Baum Blvd.; Pittsburgh, PA, 15206"
Kyoto Sauna,951-689-0883,"10600 Magnolia Ave., Suite D; Riverside, CA, 92505"
Fuji Massage,720-250-8311,"10050 Ralston Rd., Suite 1-2; Arvada, CO, 80004"
Chelsea Alternative Therapy,617-889-3500,"14 Everett Ave; Chelsea, MA, 02150"
Hannah's Massage,951-677-1133,"26658 Jefferson Ave.; Murrieta, CA, 92562"
Lai Lai Spa,617-623-2008,"149A Highland Ave; Somerville, MA, 02143"
Shangrila Spa Salon,714-948-0328,"570 S Brea Blvd; Brea, CA, 92821"
Heavenly Touch Spa,801-651-5795,"140 W. 2100 S., 136; Salt Lake City, UT, 84115"
Jannas Plays,347-662-7873,"1857 85th street apt.B1  First floor on left first door; Brooklyn, NY, 11214"
A-1 Acupuncture,626-337-3731,"13912 Francisquito Ave; Baldwin Park, CA, 91706"
Golden Spa,760-291-0399,"1500 E Valley Pkwy # A,; Escondido, CA, 92027"
Crystal Spa,865-200-5457,"5352 North Broadway; Knoxville, TN, 37918"
Asiana Acupuncture,626-841-9028,"149 E. Huntington Dr.; Arcadia, CA, 91006"
Magic Touch Health Spa,865-951-0909,"6019 Chapman Hwy.; Knoxville, TN, 37920"
Aromatherapy,760-605-3875,"41910 Boardwalk Ste A-2; Palm Desert, CA, 92260"
City Massage Spa,574-273-3222,"52144 Indiana 933; South Bend, IN, 46637"
Sports Massage/Tanning,480-218-1011,"7435 E Main St Suite 101; Mesa, AZ, 85207"
Hong Kong Massage,702-678-6969,"4770 Spring Mountain Rd; Las Vegas, NV, 89102"
Chinese Massage Spa,574-288-5487,"2606 S. Michigan St.; South Bend, IN, 46614"
Grace Acupuncture,585-223-0006,"100 Cobblestone Court; Victor, NY, 14564"
Guo Hua Herbs Center,562-698-2751,"13710 E. Whittier Blvd., Suite 206; Whittier, CA, 90605"
Bliss Day Spa,714-893-5300,"5877 Lampson Avenue; Garden Grove, CA, 92845"
Sunshine Oriental Spa,215-885-2779,"111 Old York Rd, Suite 611; Jenkintown, PA, 19046"
"Massage By Gem, Caring Hands Massage",,"174B4A, Suite 2A; Ruther Glen, VA, 22546"
Da Mo Wa,718-791-1882,"8776 Bay Parkway; Brooklyn, NY, 11214"
VIP Massage,615-446-0000,"1840 Highway 46 South; Dickson, TN, 37055"
Pro Nails,757-867-1122,"2717 George Washington Mem Hwy; Yorktown, VA, 23693"
Natural Healing Day Spa,267-584-6487,"7210 Oxford Ave.; Philadelphia, PA, 19111"
TJ Health Care Center,323-257-8986,"4742 Eagle Rock Blvd.; Los Angeles, CA, 90041"
Lili Massage,718-715-9772,"83 Bowery St, Suite 204; New York City, NY, 10002"
AZ Day Spa Aka China Day Spa,480-248-7203,"6245 E. Bell Rd, Suite 107; Scottsdale, AZ, 85254"
Angel Spa,847-596-5768,"38488 North Sheridan Road; Beach Park, IL, 60087"
Euphoria Salon & Day Spa,408-275-8682,"206 Meridian Ave.; San Jose, CA, 95126"
Mei Gan Spa,408-255-6666,"12364 Saratoga Sunnyvale Rd; Saratoga, CA, 95070"
Starlite Spa,509-487-4146,"2829 N Market St; Spokane, WA, 99207"
Amandi Spa,773-943-2416,"2309 W Howard St; Chicago, IL, 60645"
Blue Spa,973-831-6888,"22 Lakeside Ave; Pompton Lakes, NJ, 07442"
April's Therapeutic Massage,907-374-5010,"1002 Lacey St.; Fairbanks, AK, 99701"
Tokyo Spa,703-497-2006,"1519 Old Bridge Rd. #103; Woodbridge, VA, 22192"
Miracle Massage,760-322-2266,"28200 Avenida La Vis, Suite A; Cathedral City, CA, 92234"
International Latinas,213-909-4220,"5011 Hollywood Blvd; Los Angeles, CA, 90027"
Life Scapes Spa,954-342-9540,"2632 Hollywood Blvd. Suite 300; Hollywood, FL, 33020"
Art Of Anatomy,918-346-6363,"4740 S Mingo Rd; Tulsa, OK, 74146"
Royal Spa,832-287-4428,"921 West 1960 #101C; Spring, TX,"
MTM Therapy,703-255-1452,"307 Maple Ave W; Vienna, VA, 22180"
Del Rey's Spa,310-827-5458,"325 1/4 Culver Blvd; Los Angeles, CA, 90293"
Geniune Chinese Massage,505-123-4567,"5602 Menaul Blvd NE; Albuquerque, NM, 87110"
A Touch Of Asia Spa,610-594-5504,"421 East Lincoln Hwy; Exton, PA, 19341"
Opal Spa,831-656-9777,"1010 Cass St, Suite C-2; Monterey, CA, 93940"
Lincoln Massage,310-664-8889,"828 Lincoln Blvd.; Venice, CA, 90291"
Clovis Massage Garden,559-298-1888,"555 Bullard Ave.; Clovis, CA, 93612"
Young's Wellness Center,703-255-1709,"112 Maple Ave. East; Vienna, VA, 22180"
Ocean Spa,201-364-6178,"66 E Main St; Ramsey, NJ, 07446"
Junko's Clinic,310-390-9708,"1325 N Venice Blvd; Venice, CA, 90291"
Plus One Acupuncture,951-359-1084,"6200 Pegasus Dr; Riverside, CA, 92503"
Geisha's Spa,305-871-3140,"6501 NW 36th St, Suite 100; Miami, FL, 33166"
SPA R-X,815-431-9559,"2860 Columbus St; Ottawa, IL, 61350"
Tiki's Hawaiian Massage,510-741-1072,"701 Belmont Way, Suite B; Pinole, CA, 94654"
Centure Health Center,845-567-6570,"611 Route 17K; Montgomery, NY, 12549"
La Belle Day Spa,714-538-8700,"1600 E. Mayfair; Orange, CA, 92867"
Power Of Touch,773-683-4207,"5400 W Diversy Ave; Chicago, IL, 60641"
Moon Shadow Wellness,,"5141 Geary Blvd; San Francisco, CA, 94118"
Relax Station,661-949-0146,"43657 15th St. W.; Lancaster, CA, 93534"
Xijing Acupuncture,718-359-1110,"133-22 39th Ave.; Flushing, NY, 11354"
Wellcarecenter,201-428-1968,"123 Skuyler Ave; Harrison, NJ, 07032"
Star Massage,773-772-5113,"1526 N. Ashland Ave.; Chicago, IL, 60622"
Kneading Massage,918-402-6722,"6390 E 31st St, Suite K; Tulsa, OK, 74112"
Berkeley Alouette,510-548-2193,"1443 University Ave; Berkeley, CA, 94702"
Relaxation Massage,708-403-4899,"9552 W. 147th St.; Orland Park, IL, 60462"
Latin Touch Massage,201-865-6662,"2911 30th St, Suite 105; Union City, NJ, 07087"
HB Day Spa,714-842-6809,"17122 Beach Blvd., Suite 104; Huntington Beach, CA, 92647"
Avanti,805-965-5888,"309 W Carrillo St; Santa Barbara, CA, 93101"
Arizona Bay Beach Club Massage,480-947-0000,"1917 N. Scottsdale Rd.; Scottsdale, AZ, 85257"
Rose's Chinese Salon & Day Spa,317-362-7071,"3142 E. Main St.; Plainfield, IN, 46168"
MK Oriental,646-602-2928,"125 E 23rd St, Suite 302; New York City, NY, 10010"
Magic Touch,773-254-4933,"702 W. 35th St.; Chicago, IL, 60616"
Diamond Massage,559-221-8588,"1651 E Shields Ave; Fresno, CA, 93704"
Lee's Acupressure,909-428-1400,"8849 Sierra Ave; Fontana, CA, 92335"
Ammons Spa,303-233-3824,"1480 Ammons St.; Denver, CO, 80214"
The 24HR SPA,317-640-3348,"8840 N Michigan Road; Indianapolis, IN, 46268"
Chinese Accupressure Massage,609-688-1848,"4 Hillside Ave; Princeton, NJ, 08540"
Rejuve,678-291-6909,"5966 Goshen Springs Rd.; Norcross, GA, 30071"
Oaks Acupuncture,818-788-8874,"14241 Ventura Blvd., Suite 105; Sherman Oaks, CA, 91423"
Relaxing And Energizing Spa,310-593-3477,"12587 Venice Blvd; Los Angeles, CA, 90066"
Sun Spa (Old Sakura Spa),443-803-3038,"9921 Reisterstown Rd; Owings Mills, MD, 21117"
Massage By Stephanie's Girls,801-637-2558,"6526 South State St, Suite E; Murray, UT, 84107"
VIP Massage,951-371-3885,"1426 W 6th St, Suite 102; Corona, CA, 92882"
Momo Therapy,703-361-0020,"7229 Centreville Rd; Manassas, VA, 20111"
Elite Day Spa & Massage,602-870-7558,"10171 N. 19th Ave.; Phoenix, AZ, 85021"
Montana's Spa,509-922-9656,"7413 E. Trent Ave.; Spokane, WA, 99212"
Song Massage,808-343-5025,"1750 Kalaukaua Ave., Suite 2404; Honolulu, HI, 96826"
Asian Sensual Massage,512-810-7655,"707 E Braker; Austin, TX, 78700"
Leisure Massage,213-383-1888,"3615 W Beverly Blvd; Los Angeles, CA, 90004"
Daily Spa,812-375-2324,"2630 25th St.; Columbus, IN, 47201"
Natural Health Massage,609-857-3259,"112 Giffordtown Ln; Tuckerton, NJ, 08087"
Wellness Healings,818-761-6356,"5511 Laurel Canyon Bvd; North Hollywood, CA, 91607"
Garden Retreat Spa,212-696-0901,"253 5th Ave.; New York City, NY, 10016"
Ace Body Massage,718-279-1925,"201-03 Northen Blvd.; Bayside, NY, 11361"
VIP Acupressure Spa,716-628-5843,"3507 Union Rd.; Buffalo, NY, 14225"
Vicente Health Care,415-681-6882,"1202 Vicente St.; San Francisco, CA, 94116"
Seven Star Massage & Spa,773-866-1775,"2851 W. Belmont Ave.; Chicago, IL, 60618"
Smile Spa,914-743-1194,"1903 E Main St; Mohegan Lake, NY, 10547"
Jade Spa Therapy,860-669-8889,"3 Post Office Square; Clinton, CT, 06413"
Panda Spa,206-212-6176,"30620 Pacific Highway S #103; Federal Way, WA, 98003"
Tanning Spa,601-264-3534,"6668 U.S. 98,  Suite A; Hattiesburg, MS, 39402"
BA Center Beauty Spa,818-626-2218,"10859 Burbank Blvd Unit B; North Hollywood, CA, 91601"
Jin Health Massage,425-895-1668,"1813 130th Ave NE, Suite 216; Bellevue, WA, 98005"
Relax Day Spa,714-558-8819,"17221 E 17th St # D; Santa Ana, CA, 92705"
Asian Spa,646-499-0090,"2113 W 6th St; Brooklyn, NY, 11223"
Serenity Palace,323-259-5889,"4303 Eagle Rock Blvd; Los Angeles, CA, 90041"
Snowbird Spa,212-588-0104,"139 E 57th St; New York City, NY, 10022"
Lucky Lily Spa,347-809-7120,"7558 113th St.; Forest Hills, NY, 11375"
Health Plus Spot,252-533-5090,"1010 Julian R Allsbrook Hwy.; Roanoke Rapids, NC, 27870"
Papaya Spa,703-917-0029,"7635 Leesburg Pike, Suite B; Falls Church, VA, 22043"
Fuji Massage,707-451-2888,"630 Orange Dr, Suite G; Vacaville, CA, 95687"
Eastern,630-362-6819,"221 St Charles Rd, Suite G; Villa Park, IL, 60181"
Miko Bath House,713-772-5888,"7130 Clarewood Dr; Houston, TX, 77036"
California Oriental Massage Studio,831-375-1178,"600 E Franklin St.; Monterey, CA, 93940"
A-1 Acupressure,310-217-9948,"1146 Redondo Beach Blvd.; Gardena, CA, 90247"
Claudia's Spa,773-539-3013,"3415 West Peterson Ave.; Chicago, IL, 60659"
Latina Massage Parlor,818-220-1532,"6133 Vineland Ave; North Hollywood, CA, 91606"
East To West Healthcare,559-323-8323,"519 4th St; Clovis, CA, 93612"
One2One NRG,781-520-0744,"600 W Cummings Pkwy Ste 6850; Woburn, MA, 01801"
Recovery Spa,248-528-8100,"1975 East Maple Road; Troy, MI, 48083"
Kneading Hands Chinese Massage,805-354-9613,"3480 Orcutt Rd.; Santa Maria, CA, 93455"
Shanghai Massage Therapy,405-942-8183,"2911 N May Ave; Oklahoma City, OK, 73107"
Kute Massage,630-450-9148,"352 Wildflower Way,; Aurora, IL, 60448"
Chinese Tui-Na Center,917-349-7033,"6801 20th Ave; Brooklyn, NY, 11204"
Relaxing Asian Bodywork,646-207-0556,"7611 Myrtle Ave; Ridgewood, NY, 11385"
Happy Feet Spa,972-552-1611,"126 E Hwy80 suite 102; Forney, TX, 75126"
